Time (s),Velocity (rad/s),Voltage (V)
14.062537908554077,0.0,10.0
14.082539558410645,0.0,10.0
14.103521585464478,0.0,10.0
14.123566389083862,0.0,10.0
14.158632040023804,0.0,10.0
14.164505958557129,0.0,10.0
14.184523344039917,0.0,10.0
14.204601049423218,0.0,10.0
14.225476026535034,0.0,10.0
14.245478630065918,0.0,10.0
14.265615701675415,0.0,10.0
14.28545880317688,0.0,10.0
14.306357145309448,0.0,10.0
14.3263680934906,0.0,10.0
14.346579790115356,0.0,10.0
14.367424488067627,0.0,10.0
14.387571096420288,0.0,10.0
14.407578229904175,0.0,10.0
14.42743444442749,0.0,10.0
14.448424816131592,0.0,10.0
14.468412637710571,0.0,10.0
14.48858380317688,0.0,10.0
14.509431600570679,0.0,10.0
14.529357433319092,0.0,10.0
14.56434416770935,0.0,10.0
14.570357322692871,0.0,10.0
14.590343713760376,0.0,10.0
14.610372543334961,0.0,10.0
14.630588054656982,0.0,10.0
14.651572465896606,0.0,10.0
14.67155647277832,0.0,10.0
14.691562175750732,0.0,10.0
14.712186574935913,0.0,10.0
14.732606172561646,0.0,10.0
14.767777681350708,0.0,10.0
14.772435426712036,0.0,10.0
14.793550252914429,0.0,10.0
14.813575983047485,0.0,10.0
14.833740234375,0.0,10.0
14.85457730293274,0.0,10.0
14.874718189239502,0.0,10.0
14.894710063934326,0.0,10.0
14.915545225143433,0.0,10.0
14.935630798339844,0.0,10.0
14.955424070358276,0.0,10.0
14.975339889526367,0.0,10.0
14.996384620666504,0.0,10.0
15.01655626296997,0.0,10.0
15.036643028259277,0.0,10.0
15.057526111602783,0.0,10.0
15.077491044998169,0.0,10.0
15.097635269165039,0.0,10.0
15.117631435394287,0.0,10.0
15.138431787490845,0.0,10.0
15.173512935638428,0.0,10.0
15.178555250167847,0.0,10.0
15.199495077133179,0.0,10.0
15.219516277313232,0.0,10.0
15.239580154418945,0.0,10.0
15.260567903518677,0.0,10.0
15.280246019363403,0.59,10.0
15.300430059432983,0.54,10.0
15.32045865058899,0.49,10.0
15.341470003128052,0.44,10.0
15.376478433609009,0.4,10.0
15.38152813911438,0.37,10.0
15.402504920959473,0.33,10.0
15.422322034835815,0.3,10.0
15.442432641983032,0.28,10.0
15.462538957595825,0.25,10.0
15.483622312545776,0.23,10.0
15.503587245941162,0.21,10.0
15.523581504821777,0.19,10.0
15.544415712356567,0.17,10.0
15.564459562301636,0.16,10.0
15.584249258041382,0.14,10.0
15.60458517074585,0.13,10.0
15.62556529045105,0.12,10.0
15.645366191864014,0.11,10.0
15.665648460388184,0.1,10.0
15.686437368392944,0.09,10.0
15.706144571304321,0.08,10.0
15.727424621582031,0.07,10.0
15.74738621711731,0.07,10.0
15.782437324523926,0.06,10.0
15.78748106956482,0.06,10.0
15.807656288146973,0.05,10.0
15.82843565940857,0.05,10.0
15.848566770553589,0.04,10.0
15.868537664413452,0.04,10.0
15.88932204246521,0.03,10.0
15.90959644317627,0.03,10.0
15.929548740386963,0.03,10.0
15.949406623840332,0.03,10.0
15.98533821105957,0.02,10.0
15.990364789962769,0.02,10.0
16.010591983795166,0.02,10.0
16.0315580368042,0.02,10.0
16.051646947860718,0.02,10.0
16.0716073513031,0.01,10.0
16.09230065345764,0.01,10.0
16.11263132095337,0.01,10.0
16.132835626602173,0.01,10.0
16.152973175048828,0.01,10.0
16.17337727546692,0.01,10.0
16.1935396194458,0.01,10.0
16.213533401489258,0.01,10.0
16.23453450202942,0.01,10.0
16.254606008529663,0.01,10.0
16.274561882019043,0.01,10.0
16.294433116912842,0.01,10.0
16.315442085266113,0.0,10.0
16.33553981781006,0.0,10.0
16.355385065078735,0.0,10.0
16.376548290252686,0.0,10.0
16.39658260345459,0.0,10.0
16.4165198802948,0.0,10.0
16.43646216392517,0.0,10.0
16.457468509674072,0.0,10.0
16.47722029685974,0.0,10.0
16.497584104537964,0.0,10.0
16.518481254577637,0.0,10.0
16.53837823867798,0.0,10.0
16.558467388153076,0.0,10.0
16.59344244003296,0.0,10.0
16.59933567047119,0.0,10.0
16.619375228881836,0.0,10.0
16.6395161151886,0.0,10.0
16.660499572753906,0.0,10.0
16.680310010910034,0.0,10.0
16.700721740722656,0.0,10.0
16.721582412719727,0.0,10.0
16.741485595703125,0.0,10.0
16.76158857345581,0.0,10.0
16.78171467781067,0.0,10.0
16.80274796485901,0.0,10.0
16.822612047195435,0.0,10.0
16.842630863189697,0.0,10.0
16.863590955734253,0.0,10.0
16.883583307266235,0.0,10.0
16.90351700782776,0.0,10.0
16.924293994903564,0.0,10.0
16.944442987442017,0.0,10.0
16.964435815811157,0.0,10.0
16.984442472457886,0.0,10.0
17.00549578666687,0.0,10.0
17.02557063102722,0.0,10.0
17.045572757720947,0.0,10.0
17.066638231277466,0.0,10.0
17.086560249328613,0.0,10.0
17.106619358062744,0.0,10.0
17.12661623954773,0.0,10.0
17.147380590438843,0.0,10.0
17.167598485946655,0.0,10.0
17.202648878097534,0.0,10.0
17.208425283432007,0.0,10.0
